attraction_id,city_id,attraction_name,category,entry_fee
1,306,Unpack Studio Havana Art Residency,Tourist Spot,3.40
2,306,Free Walking Tours Strawberry Tours,Tourist Spot,16.04
3,306,Coco taxi,Tourist Spot,8.87
4,306,GUIDE Français Lassar,Tourist Spot,14.85
5,306,La Estatua de la República,Tourist Spot,18.04
6,306,Castillo de la Real Fuerza,Tourist Spot,15.64
7,307,Botanical Gardens,Tourist Spot,12.06
8,307,Boiling Lake,Tourist Spot,8.04
9,307,Trafalgar Falls,Tourist Spot,10.33
10,307,Goverment House,Tourist Spot,16.68
11,307,The Ruins Rock Cafe,Tourist Spot,1.09
12,307,Macoucherie Distillery,Tourist Spot,16.67
13,307,Norwood House,Tourist Spot,13.89
14,307,Old Mill Cultural Centre,Tourist Spot,8.18
15,307,Hôtel en ruine,Tourist Spot,19.14
16,307,War Memorial,Tourist Spot,8.76
17,307,Syndicate (Milton) Falls,Tourist Spot,7.15
18,307,Bishop Arnold Boghaert House,Tourist Spot,0.98
19,307,Morne Bruce,Tourist Spot,16.06
20,311,Nõmme ema,Tourist Spot,15.81
21,308,Château Comtal,Tourist Spot,12.26
22,308,Nougalet,Tourist Spot,13.97
23,312,Maison de Chateaubriand,Tourist Spot,7.68
24,308,Croix de Montlegun,Tourist Spot,9.83
25,308,Ancien Palais épiscopal,Tourist Spot,3.20
26,308,Maison Cotte,Tourist Spot,6.03
27,308,Cathédrale Saint-Michel,Tourist Spot,3.57
28,308,Palais de la Micheline,Tourist Spot,12.19
29,308,Ancien bassin de distribution des eaux,Tourist Spot,17.40
30,308,Maison Gally,Tourist Spot,8.81
31,308,Ancien Hôtel de Murat,Tourist Spot,19.38
32,308,Moulin à Vent,Tourist Spot,14.99
33,312,Domaine national de Saint-Cloud,Tourist Spot,0.58
34,308,Château d'Aragon,Tourist Spot,17.19
35,308,Château de Moussoulens,Tourist Spot,14.42
36,308,Croisières Lou Gabaret - Bateau de promenade,Tourist Spot,11.49
37,308,Porte Narbonnaise,Tourist Spot,12.55
38,312,Jardin du Luxembourg,Tourist Spot,18.23
39,308,Bastion de Montmorency,Tourist Spot,8.91
40,308,Maison Hantée,Tourist Spot,17.51
41,308,Croix de chemin d'Aragon,Tourist Spot,7.43
42,308,Maison Courtial,Tourist Spot,2.39
43,308,Basilique Saint-Nazaire,Tourist Spot,18.55
44,316,PK0,Tourist Spot,1.04
45,316,Paroisse Saint-Michel,Tourist Spot,0.48
46,309,Forte da Bandeira,Tourist Spot,17.27
47,309,Forte de Almádena,Tourist Spot,12.89
48,309,Arco/Porta de São Gonçalo,Tourist Spot,12.70
49,309,Adventure Golf Alvor,Tourist Spot,1.94
50,309,Algarve Watersport,Tourist Spot,3.11
51,309,Forte de Burgau,Tourist Spot,9.14
52,309,Estação Arqueológica de Monte Molião,Tourist Spot,15.21
53,309,Monumentos Megalíticos de Alcalar,Tourist Spot,3.11
54,309,Forte da Meia Praia,Tourist Spot,10.19
55,309,Antigo Mercado dos Escravos,Tourist Spot,1.07
56,309,Castelo de São João de Arade,Tourist Spot,15.75
57,309,Estação Romana da Quinta da Abicada,Tourist Spot,1.21
58,309,Fortaleza de Nossa senhora da Luz,Tourist Spot,15.96
59,309,Castelo de Alvor,Tourist Spot,8.96
60,309,Estação Arqueológica Romana da Praia da Luz,Tourist Spot,6.83
61,309,Forte de Santa Catarina,Tourist Spot,10.39
62,309,Casa da Dízima,Tourist Spot,11.66
63,309,Pelourinho de Lagos,Tourist Spot,3.61
64,309,Ruínas Lusitano-Romanas da Boca do Rio,Tourist Spot,9.52
65,310,كوم الشقافة,Tourist Spot,11.60
66,310,المسرح الروماني,Tourist Spot,0.85
67,310,قلعة قايتباي,Tourist Spot,7.29
68,310,منارة الإسكندرية,Tourist Spot,5.69
69,310,عمود السواري والحديقة الأثرية,Tourist Spot,8.18
70,310,كوم الدكة,Tourist Spot,16.17
71,310,قلعة قايتباي,Tourist Spot,1.38
72,310,Chatby Necropolis,Tourist Spot,12.45
73,310,البرج الشرقي,Tourist Spot,7.63
74,310,سور الإسكندرية القديم,Tourist Spot,6.34
75,310,قصر راس التين,Tourist Spot,19.80
76,310,عامود السوارى,Tourist Spot,2.37
77,310,محطة الرمل,Tourist Spot,1.81
78,310,Statue of Ptolemy II,Tourist Spot,5.04
79,310,Statue of Nubar Pasha,Tourist Spot,8.91
80,310,سيد درويش,Tourist Spot,9.55
81,310,تمثال الأشرعة البيضاء,Tourist Spot,7.51
82,310,مقابر الأنفوشي,Tourist Spot,4.97
83,310,Old Bastion,Tourist Spot,4.45
84,310,كوم الناضورة,Tourist Spot,14.74
85,311,Kiek in de Kök,Tourist Spot,14.35
86,311,Tallinna teletorn,Tourist Spot,18.97
87,311,Tallinna Botaanikaaed,Tourist Spot,12.91
88,311,Hellemanni torn,Tourist Spot,7.03
89,311,Patarei merekindlus,Tourist Spot,6.39
90,311,Kuldjala torn,Tourist Spot,10.79
91,311,Pirita klooster,Tourist Spot,4.90
92,311,Maarjamäe loss,Tourist Spot,12.29
93,311,Glehni loss,Tourist Spot,4.56
94,311,Stenbocki maja,Tourist Spot,10.57
95,311,Lastepargi kivi,Tourist Spot,1.49
96,311,Männiku hiidrahn,Tourist Spot,6.91
97,311,Reaali Poiss,Tourist Spot,6.43
98,311,Paul Keres,Tourist Spot,8.16
99,311,Thomas Johann Seebeck'i mälestussammas,Tourist Spot,8.50
300,322,City View,Tourist Spot,7.69
100,311,Nikolai von Glehn,Tourist Spot,9.83
101,311,Mõtlik mees,Tourist Spot,6.52
102,311,Memoriaal hukkunud päästjate mälestuseks,Tourist Spot,11.17
103,311,Laste Liikluslinn Viimsi,Tourist Spot,18.36
104,313,Palazzo del Sedile,Tourist Spot,0.14
105,364,Kasteel Rondenbos,Tourist Spot,2.13
106,364,Landhuis de Viron,Tourist Spot,19.80
107,364,Palais Royal - Koninklijk Paleis,Tourist Spot,14.52
108,364,Église Notre-Dame au Sablon - Onze-Lieve-Vrouw-ter-Zavelkerk,Tourist Spot,16.87
109,364,Kasteel de Viron,Tourist Spot,9.20
110,364,Chapelle Musicale Reine Élisabeth,Tourist Spot,8.26
111,312,Le Petit Bouillon Pharamond,Tourist Spot,15.08
112,312,Brasserie Bofinger,Tourist Spot,9.10
113,312,Jardin des Plantes,Tourist Spot,17.84
114,312,Collège des Bernardins,Tourist Spot,4.98
115,312,Cimetière militaire américain,Tourist Spot,2.25
116,312,Centre Georges Pompidou,Tourist Spot,1.54
117,312,Immeuble Molitor,Tourist Spot,14.14
118,312,Château d'Asnières,Tourist Spot,6.69
119,312,Musée de la Libération de Paris,Tourist Spot,4.57
120,312,Château Chanorier,Tourist Spot,16.15
121,312,Crypte Archéologique du Parvis Notre-Dame,Tourist Spot,17.01
122,312,Cathédrale Notre-Dame de Paris,Tourist Spot,3.89
123,312,Au Lapin Agile,Tourist Spot,17.89
124,312,Grande Mosquée de Paris,Tourist Spot,18.86
125,312,Association Paris Historique,Tourist Spot,8.96
126,312,Académie de la Grande Chaumière,Tourist Spot,12.88
127,312,Palais du Louvre,Tourist Spot,7.12
