food_id,city_id,restaurant,cuisine,avg_cost,rating
1,307,Tilou Kanawa,,126.90,2.3
2,307,Tamarind Tree Restaurant,,105.81,3.9
3,307,M & G's Dinner,,112.25,4.7
4,307,Papillote Gardens,,50.31,2.7
5,307,KC SNACKETTE,,70.67,1.8
6,307,Guiyave,,139.10,5.0
7,307,The Copperyard,,83.50,4.6
8,307,Zeb & Zepis bistro,,102.05,2.1
9,307,DohHaveTo,,70.41,3.6
10,307,One Step-in,,56.63,2.2
11,307,Pagua Bay Bar & Grill,,64.41,4.2
12,307,Kallaloo House,,54.98,4.9
13,307,Pride de la Dominique,,90.83,1.7
14,307,Towdah's Kool Table,,89.17,3.3
15,307,Ma Raffo's Cuisine,,53.45,4.5
16,307,The Great Old House Restaurant by Leonard Lewis,,68.12,3.8
17,307,Manjé Lakay,,116.71,1.4
18,307,Pearl's Cuisine,,119.90,3.2
19,307,Flavors Grill,,111.72,3.4
20,307,The Ruins Rock Cafe,,129.37,3.5
21,308,L'Ostal des Troubadours,,126.18,2.2
22,308,La Table d'Alaïs,,125.09,2.4
23,308,Auberge de Dame Carcas,,102.19,3.4
24,308,Ristorante Del Arte,,139.46,3.4
25,308,La Marquière,,56.54,4.9
26,308,Comte Roger,,76.81,3.7
27,308,Le Chaudron,,129.60,1.6
28,308,Le 104,,85.31,2.8
29,308,Dinner 118,,110.03,3.2
30,308,L'Arzenais,,107.01,2.7
31,308,Le Créneau,,113.66,3.9
32,308,Le parc - Franck Putelat,,105.66,2.7
33,308,Chez Fred,,60.74,4.8
34,308,Restaurant La Vicomté - Hôtel Mercure,,140.14,3.8
35,308,Les Terrasses de la Cité,,63.86,3.1
36,308,La Poissonnerie Moderne,,73.45,4.9
37,308,Le 37,,71.70,3.2
38,308,Le Pas sage,,145.27,3.6
39,312,La Recyclerie,,77.48,3.6
40,308,M11,,146.01,3.4
41,308,Le Cathare,,80.51,4.9
42,309,"Amanti Praia do Vau - Pizza, Pasta & Ice Cream",,117.34,2.1
43,309,Gaivota Branca,,73.39,1.9
44,309,Restaurante O Camilo,,60.99,2.5
45,309,Rei das Praias (Caneiros),,113.07,4.0
46,309,O Alcaide,,141.58,4.1
47,309,Restaurante Dos Artistas,,51.48,1.9
48,309,O Luís,,52.43,1.3
49,309,A Ribeira,,140.68,2.4
50,309,A Barrigada,,149.43,2.0
51,309,Tasca os Arquinhos,,106.12,1.5
52,309,osaka,,82.95,4.7
53,309,Imperio do Mar,,119.31,2.5
54,309,Ala do Castelo,,76.89,3.7
55,309,Kelly's Sports Bar,,148.44,1.3
56,309,Nah Nah Bah,,89.89,2.3
57,309,Pizza do Francês,,134.66,1.4
58,309,Tasca Jota Lagos,,105.59,2.3
59,309,Mar D'Estorias,,54.57,3.5
60,309,Restaurante a Quintinha,,67.94,1.9
61,309,Port Arade,,94.56,4.9
62,311,Kuldse Notsu Kõrts,,105.37,1.7
63,310,رويال البيطاش,,79.93,1.1
64,310,Chez Gaby au Ritrovo,,77.06,4.6
65,310,أحمد محمد فول,,78.02,3.9
66,310,Negro Greek Sea Food,,61.58,2.1
67,310,سيدرا,,142.91,1.7
68,310,Gleem Bay,,89.25,2.1
69,310,النادى البحرى اليونانى,,88.98,3.5
70,310,حلواني مانا,,91.70,1.8
71,310,قدورة,,111.95,3.2
72,310,Dela Vega,,124.35,4.6
73,310,Tawn Coffe Shop,,149.84,1.2
74,310,جار,,121.89,2.5
75,310,ابو ناصر,,63.31,2.4
76,310,Kadoura,,80.79,2.9
77,310,مطعم ليبيا,,144.41,3.5
78,310,اسماك شعبان,,86.69,4.6
79,310,Old street,,80.27,1.5
80,310,L’Apéro,,62.36,1.1
81,310,Elite,,110.77,1.1
82,310,فيروز,,142.96,1.9
83,311,Peppersack,,85.62,3.8
84,311,Uulits Tänavagurmee,,93.42,4.1
85,311,Noa,,90.87,4.0
86,311,Tondi Resto,,145.03,4.5
87,311,Mantel ja Korsten,,115.18,2.0
88,311,Snoob resto,,81.44,1.5
89,311,Domberg,,75.58,1.3
90,311,Beer House,,91.00,1.6
91,311,Vanaema Juures,,122.40,2.6
92,311,Olde Hansa,,149.79,3.2
93,311,Pizza Grande,,82.94,1.2
94,311,Kompressor Pub,,130.77,2.1
95,311,Rado,,121.27,3.5
96,311,Chedi,,73.61,3.8
97,311,Chakra,,81.68,4.8
98,311,Controvento,,121.09,3.5
99,311,Elevant,,146.62,1.4
100,311,Pizza Americana,,123.02,1.9
101,311,Vapiano,,95.17,4.5
102,313,Braceria Caputi,,67.26,3.8
